snapshot_date,curve_date,forward_date,rate
2026-03-18,2026-03-09T16:00:00,2032-12-13T00:00:00,0.0438987
2026-03-18,2026-03-09T16:00:00,2033-01-11T00:00:00,0.0440262
2026-03-18,2026-03-09T16:00:00,2033-02-11T00:00:00,0.0441572
2026-03-18,2026-03-09T16:00:00,2033-03-11T00:00:00,0.0443056
2026-03-18,2026-03-09T16:00:00,2033-04-11T00:00:00,0.0444277
2026-03-18,2026-03-09T16:00:00,2033-05-11T00:00:00,0.0445664
2026-03-18,2026-03-09T16:00:00,2033-06-13T00:00:00,0.044709
2026-03-18,2026-03-09T16:00:00,2033-07-11T00:00:00,0.0448287
2026-03-18,2026-03-09T16:00:00,2033-08-11T00:00:00,0.0449598
2026-03-18,2026-03-09T16:00:00,2033-09-12T00:00:00,0.0450897
2026-03-18,2026-03-09T16:00:00,2033-10-11T00:00:00,0.0452122
2026-03-18,2026-03-09T16:00:00,2033-11-11T00:00:00,0.0453488
2026-03-18,2026-03-09T16:00:00,2033-12-12T00:00:00,0.0454597
2026-03-18,2026-03-09T16:00:00,2034-01-11T00:00:00,0.0455763
2026-03-18,2026-03-09T16:00:00,2034-02-13T00:00:00,0.0457102
2026-03-18,2026-03-09T16:00:00,2034-03-13T00:00:00,0.0458237
2026-03-18,2026-03-09T16:00:00,2034-04-11T00:00:00,0.0459321
2026-03-18,2026-03-09T16:00:00,2034-05-11T00:00:00,0.0460531
2026-03-18,2026-03-09T16:00:00,2034-06-12T00:00:00,0.046174
2026-03-18,2026-03-09T16:00:00,2034-07-11T00:00:00,0.0462822
2026-03-18,2026-03-09T16:00:00,2034-08-11T00:00:00,0.046406
2026-03-18,2026-03-09T16:00:00,2034-09-11T00:00:00,0.0465053
2026-03-18,2026-03-09T16:00:00,2034-10-11T00:00:00,0.0466157
2026-03-18,2026-03-09T16:00:00,2034-11-13T00:00:00,0.0467328
2026-03-18,2026-03-09T16:00:00,2034-12-11T00:00:00,0.0468261
2026-03-18,2026-03-09T16:00:00,2035-01-11T00:00:00,0.0469291
2026-03-18,2026-03-09T16:00:00,2035-02-12T00:00:00,0.0470423
2026-03-18,2026-03-09T16:00:00,2035-03-12T00:00:00,0.0471406
2026-03-18,2026-03-09T16:00:00,2035-04-11T00:00:00,0.0472373
2026-03-18,2026-03-09T16:00:00,2035-05-11T00:00:00,0.04735
2026-03-18,2026-03-09T16:00:00,2035-06-11T00:00:00,0.0474413
2026-03-18,2026-03-09T16:00:00,2035-07-11T00:00:00,0.0475369
2026-03-18,2026-03-09T16:00:00,2035-08-13T00:00:00,0.0476405
2026-03-18,2026-03-09T16:00:00,2035-09-11T00:00:00,0.0477262
