run_timestamp,curve,status
2026-04-20T19:10:20.112210+00:00,3M_EURIBOR,error: 500 Server Error: Internal Server Error for url: https://cf.com/rates
2026-04-20T19:10:20.112210+00:00,6M_EURIBOR,error: 500 Server Error: Internal Server Error for url: https://cf.com/rates
2026-04-20T19:10:20.112210+00:00,3M_SONIA,error: 500 Server Error: Internal Server Error for url: https://cf.com/rates
2026-04-21T19:17:18.920285+00:00,1M_EURIBOR,error: 500 Server Error: Internal Server Error for url: https://cf.com/rates
2026-04-21T19:17:18.920285+00:00,3M_EURIBOR,error: 500 Server Error: Internal Server Error for url: https://cf.com/rates
2026-04-21T19:17:18.920285+00:00,6M_EURIBOR,error: 500 Server Error: Internal Server Error for url: https://cf.com/rates
2026-04-21T19:17:18.920285+00:00,3M_SONIA,error: 500 Server Error: Internal Server Error for url: https://cf.com/rates
2026-04-22T19:18:24.714866+00:00,1M_EURIBOR,error: 500 Server Error: Internal Server Error for url: https://cf.com/rates
2026-04-22T19:18:24.714866+00:00,3M_EURIBOR,error: 500 Server Error: Internal Server Error for url: https://cf.com/rates
2026-04-22T19:18:24.714866+00:00,6M_EURIBOR,error: 500 Server Error: Internal Server Error for url: https://cf.com/rates
2026-04-22T19:18:24.714866+00:00,3M_SONIA,error: 500 Server Error: Internal Server Error for url: https://cf.com/rates
2026-04-23T19:15:48.361684+00:00,1M_EURIBOR,error: 500 Server Error: Internal Server Error for url: https://cf.com/rates
2026-04-23T19:15:48.361684+00:00,3M_EURIBOR,error: 500 Server Error: Internal Server Error for url: https://cf.com/rates
2026-04-23T19:15:48.361684+00:00,6M_EURIBOR,error: 500 Server Error: Internal Server Error for url: https://cf.com/rates
2026-04-23T19:15:48.361684+00:00,3M_SONIA,error: 500 Server Error: Internal Server Error for url: https://cf.com/rates
2026-04-24T18:57:03.093293+00:00,1M_EURIBOR,error: 500 Server Error: Internal Server Error for url: https://cf.com/rates
2026-04-24T18:57:03.093293+00:00,3M_EURIBOR,error: 500 Server Error: Internal Server Error for url: https://cf.com/rates
2026-04-24T18:57:03.093293+00:00,6M_EURIBOR,error: 500 Server Error: Internal Server Error for url: https://cf.com/rates
2026-04-24T18:57:03.093293+00:00,3M_SONIA,error: 500 Server Error: Internal Server Error for url: https://cf.com/rates
2026-04-27T19:27:28.989756+00:00,1M_EURIBOR,error: 500 Server Error: Internal Server Error for url: https://cf.com/rates
2026-04-27T19:27:28.989756+00:00,3M_EURIBOR,error: 500 Server Error: Internal Server Error for url: https://cf.com/rates
2026-04-27T19:27:28.989756+00:00,6M_EURIBOR,error: 500 Server Error: Internal Server Error for url: https://cf.com/rates
2026-04-27T19:27:28.989756+00:00,3M_SONIA,error: 500 Server Error: Internal Server Error for url: https://cf.com/rates
2026-04-28T19:44:58.214024+00:00,1M_EURIBOR,error: 500 Server Error: Internal Server Error for url: https://cf.com/rates
2026-04-28T19:44:58.214024+00:00,3M_EURIBOR,error: 500 Server Error: Internal Server Error for url: https://cf.com/rates
2026-04-28T19:44:58.214024+00:00,6M_EURIBOR,error: 500 Server Error: Internal Server Error for url: https://cf.com/rates
2026-04-28T19:44:58.214024+00:00,3M_SONIA,error: 500 Server Error: Internal Server Error for url: https://cf.com/rates
2026-04-29T19:41:05.426631+00:00,1M_EURIBOR,error: 403 Client Error: Forbidden for url: https://cf.com/rates
2026-04-29T19:41:05.426631+00:00,3M_EURIBOR,error: 403 Client Error: Forbidden for url: https://cf.com/rates
2026-04-29T19:41:05.426631+00:00,6M_EURIBOR,error: 403 Client Error: Forbidden for url: https://cf.com/rates
2026-04-29T19:41:05.426631+00:00,3M_SONIA,error: 403 Client Error: Forbidden for url: https://cf.com/rates
2026-04-30T19:26:42.217075+00:00,1M_EURIBOR,error: 403 Client Error: Forbidden for url: https://cf.com/rates
2026-04-30T19:26:42.217075+00:00,3M_EURIBOR,error: 403 Client Error: Forbidden for url: https://cf.com/rates
2026-04-30T19:26:42.217075+00:00,6M_EURIBOR,error: 403 Client Error: Forbidden for url: https://cf.com/rates
2026-04-30T19:26:42.217075+00:00,3M_SONIA,error: 403 Client Error: Forbidden for url: https://cf.com/rates
2026-05-01T19:15:57.756126+00:00,1M_EURIBOR,error: 403 Client Error: Forbidden for url: https://cf.com/rates
2026-05-01T19:15:57.756126+00:00,3M_EURIBOR,error: 403 Client Error: Forbidden for url: https://cf.com/rates
2026-05-01T19:15:57.756126+00:00,6M_EURIBOR,error: 403 Client Error: Forbidden for url: https://cf.com/rates
2026-05-01T19:15:57.756126+00:00,3M_SONIA,error: 403 Client Error: Forbidden for url: https://cf.com/rates
2026-05-04T19:43:54.223389+00:00,1M_EURIBOR,error: 403 Client Error: Forbidden for url: https://cf.com/rates
2026-05-04T19:43:54.223389+00:00,3M_EURIBOR,error: 403 Client Error: Forbidden for url: https://cf.com/rates
2026-05-04T19:43:54.223389+00:00,6M_EURIBOR,error: 403 Client Error: Forbidden for url: https://cf.com/rates
2026-05-04T19:43:54.223389+00:00,3M_SONIA,error: 403 Client Error: Forbidden for url: https://cf.com/rates
2026-05-05T19:25:37.178822+00:00,1M_EURIBOR,error: 403 Client Error: Forbidden for url: https://cf.com/rates
2026-05-05T19:25:37.178822+00:00,3M_EURIBOR,error: 403 Client Error: Forbidden for url: https://cf.com/rates
2026-05-05T19:25:37.178822+00:00,6M_EURIBOR,error: 403 Client Error: Forbidden for url: https://cf.com/rates
2026-05-05T19:25:37.178822+00:00,3M_SONIA,error: 403 Client Error: Forbidden for url: https://cf.com/rates
2026-05-06T19:49:37.690565+00:00,1M_EURIBOR,error: 403 Client Error: Forbidden for url: https://cf.com/rates
2026-05-06T19:49:37.690565+00:00,3M_EURIBOR,error: 403 Client Error: Forbidden for url: https://cf.com/rates
2026-05-06T19:49:37.690565+00:00,6M_EURIBOR,error: 403 Client Error: Forbidden for url: https://cf.com/rates
2026-05-06T19:49:37.690565+00:00,3M_SONIA,error: 403 Client Error: Forbidden for url: https://cf.com/rates
2026-05-07T19:45:03.900887+00:00,1M_EURIBOR,error: 403 Client Error: Forbidden for url: https://cf.com/rates
2026-05-07T19:45:03.900887+00:00,3M_EURIBOR,error: 403 Client Error: Forbidden for url: https://cf.com/rates
2026-05-07T19:45:03.900887+00:00,6M_EURIBOR,error: 403 Client Error: Forbidden for url: https://cf.com/rates
2026-05-07T19:45:03.900887+00:00,3M_SONIA,error: 403 Client Error: Forbidden for url: https://cf.com/rates
2026-05-08T19:22:40.543802+00:00,1M_EURIBOR,error: 403 Client Error: Forbidden for url: https://cf.com/rates
2026-05-08T19:22:40.543802+00:00,3M_EURIBOR,error: 403 Client Error: Forbidden for url: https://cf.com/rates
2026-05-08T19:22:40.543802+00:00,6M_EURIBOR,error: 403 Client Error: Forbidden for url: https://cf.com/rates
2026-05-08T19:22:40.543802+00:00,3M_SONIA,error: 403 Client Error: Forbidden for url: https://cf.com/rates
2026-05-11T19:51:50.719514+00:00,1M_EURIBOR,error: 403 Client Error: Forbidden for url: https://cf.com/rates
2026-05-11T19:51:50.719514+00:00,3M_EURIBOR,error: 403 Client Error: Forbidden for url: https://cf.com/rates
2026-05-11T19:51:50.719514+00:00,6M_EURIBOR,error: 403 Client Error: Forbidden for url: https://cf.com/rates
2026-05-11T19:51:50.719514+00:00,3M_SONIA,error: 403 Client Error: Forbidden for url: https://cf.com/rates
2026-05-12T19:56:41.187109+00:00,1M_EURIBOR,error: 403 Client Error: Forbidden for url: https://cf.com/rates
2026-05-12T19:56:41.187109+00:00,3M_EURIBOR,error: 403 Client Error: Forbidden for url: https://cf.com/rates
2026-05-12T19:56:41.187109+00:00,6M_EURIBOR,error: 403 Client Error: Forbidden for url: https://cf.com/rates
2026-05-12T19:56:41.187109+00:00,3M_SONIA,error: 403 Client Error: Forbidden for url: https://cf.com/rates
2026-05-13T19:58:52.980286+00:00,1M_EURIBOR,error: 403 Client Error: Forbidden for url: https://cf.com/rates
2026-05-13T19:58:52.980286+00:00,3M_EURIBOR,error: 403 Client Error: Forbidden for url: https://cf.com/rates
2026-05-13T19:58:52.980286+00:00,6M_EURIBOR,error: 403 Client Error: Forbidden for url: https://cf.com/rates
2026-05-13T19:58:52.980286+00:00,3M_SONIA,error: 403 Client Error: Forbidden for url: https://cf.com/rates
2026-05-14T19:49:40.891287+00:00,1M_EURIBOR,error: 403 Client Error: Forbidden for url: https://cf.com/rates
2026-05-14T19:49:40.891287+00:00,3M_EURIBOR,error: 403 Client Error: Forbidden for url: https://cf.com/rates
2026-05-14T19:49:40.891287+00:00,6M_EURIBOR,error: 403 Client Error: Forbidden for url: https://cf.com/rates
2026-05-14T19:49:40.891287+00:00,3M_SONIA,error: 403 Client Error: Forbidden for url: https://cf.com/rates
2026-05-15T19:41:49.410771+00:00,1M_EURIBOR,error: 403 Client Error: Forbidden for url: https://cf.com/rates
2026-05-15T19:41:49.410771+00:00,3M_EURIBOR,error: 403 Client Error: Forbidden for url: https://cf.com/rates
2026-05-15T19:41:49.410771+00:00,6M_EURIBOR,error: 403 Client Error: Forbidden for url: https://cf.com/rates
2026-05-15T19:41:49.410771+00:00,3M_SONIA,error: 403 Client Error: Forbidden for url: https://cf.com/rates
2026-05-18T19:47:25.404778+00:00,1M_EURIBOR,error: 403 Client Error: Forbidden for url: https://cf.com/rates
2026-05-18T19:47:25.404778+00:00,3M_EURIBOR,error: 403 Client Error: Forbidden for url: https://cf.com/rates
2026-05-18T19:47:25.404778+00:00,6M_EURIBOR,error: 403 Client Error: Forbidden for url: https://cf.com/rates
2026-05-18T19:47:25.404778+00:00,3M_SONIA,error: 403 Client Error: Forbidden for url: https://cf.com/rates
2026-05-19T19:54:37.739541+00:00,1M_EURIBOR,error: 403 Client Error: Forbidden for url: https://cf.com/rates
2026-05-19T19:54:37.739541+00:00,3M_EURIBOR,error: 403 Client Error: Forbidden for url: https://cf.com/rates
2026-05-19T19:54:37.739541+00:00,6M_EURIBOR,error: 403 Client Error: Forbidden for url: https://cf.com/rates
2026-05-19T19:54:37.739541+00:00,3M_SONIA,error: 403 Client Error: Forbidden for url: https://cf.com/rates
2026-05-20T20:20:55.310994+00:00,1M_EURIBOR,error: 403 Client Error: Forbidden for url: https://cf.com/rates
2026-05-20T20:20:55.310994+00:00,3M_EURIBOR,error: 403 Client Error: Forbidden for url: https://cf.com/rates
2026-05-20T20:20:55.310994+00:00,6M_EURIBOR,error: 403 Client Error: Forbidden for url: https://cf.com/rates
2026-05-20T20:20:55.310994+00:00,3M_SONIA,error: 403 Client Error: Forbidden for url: https://cf.com/rates
2026-05-21T19:56:27.695444+00:00,1M_EURIBOR,error: 403 Client Error: Forbidden for url: https://cf.com/rates
2026-05-21T19:56:27.695444+00:00,3M_EURIBOR,error: 403 Client Error: Forbidden for url: https://cf.com/rates
2026-05-21T19:56:27.695444+00:00,6M_EURIBOR,error: 403 Client Error: Forbidden for url: https://cf.com/rates
