snapshot_date,curve_date,forward_date,rate
2026-03-18,2026-03-09T16:00:00,2033-12-12T00:00:00,0.0302236
2026-03-18,2026-03-09T16:00:00,2034-01-11T00:00:00,0.0303307
2026-03-18,2026-03-09T16:00:00,2034-02-13T00:00:00,0.0304475
2026-03-18,2026-03-09T16:00:00,2034-03-13T00:00:00,0.0305455
2026-03-18,2026-03-09T16:00:00,2034-04-11T00:00:00,0.0306458
2026-03-18,2026-03-09T16:00:00,2034-05-11T00:00:00,0.0307484
2026-03-18,2026-03-09T16:00:00,2034-06-12T00:00:00,0.0308561
2026-03-18,2026-03-09T16:00:00,2034-07-11T00:00:00,0.0309521
2026-03-18,2026-03-09T16:00:00,2034-08-11T00:00:00,0.0310531
2026-03-18,2026-03-09T16:00:00,2034-09-11T00:00:00,0.031152
2026-03-18,2026-03-09T16:00:00,2034-10-11T00:00:00,0.0312458
2026-03-18,2026-03-09T16:00:00,2034-11-13T00:00:00,0.0313469
2026-03-18,2026-03-09T16:00:00,2034-12-11T00:00:00,0.031431
2026-03-18,2026-03-09T16:00:00,2035-01-11T00:00:00,0.0315222
2026-03-18,2026-03-09T16:00:00,2035-02-12T00:00:00,0.0316144
2026-03-18,2026-03-09T16:00:00,2035-03-12T00:00:00,0.0316934
2026-03-18,2026-03-09T16:00:00,2035-04-11T00:00:00,0.0317764
2026-03-18,2026-03-09T16:00:00,2035-05-11T00:00:00,0.0318578
2026-03-18,2026-03-09T16:00:00,2035-06-11T00:00:00,0.0319401
2026-03-18,2026-03-09T16:00:00,2035-07-11T00:00:00,0.0320181
2026-03-18,2026-03-09T16:00:00,2035-08-13T00:00:00,0.0321021
2026-03-18,2026-03-09T16:00:00,2035-09-11T00:00:00,0.0321744
